Bestandeseinheit,Baumart,Baumnummer,D_1984,Aus_1984,H_1984,D_1995,Aus_1995,H_1995,D_2006,Aus_2006,H_2006,D_2013,Aus_2013,H_2013
1,Dgl,1,16.9,NA,10.5,28.8,NA,19.0,30.5,NA,NA,49.1,NA,30.3
2,Ofi,2,11.4,NA,9.0,14.5,NA,NA,15.6,NA,NA,16.7,NA,NA
2,Ofi,3,11.4,NA,NA,13.0,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,4,10.0,NA,NA,14.7,NA,NA,16.5,1,NA,NA,NA,NA
1,Dgl,5,27.6,NA,12.5,33.5,NA,20.5,39.4,NA,NA,45.3,NA,32.1
2,Ofi,6,10.2,NA,5.7,15.3,NA,NA,16.0,NA,NA,16.7,NA,NA
1,Dgl,7,7.1,NA,NA,7.6,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,8,23.4,NA,12.0,40.6,NA,19.5,56.5,NA,NA,67.0,NA,33.5
1,Dgl,9,4.9,NA,NA,6.7,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,10,14.5,NA,9.0,21.8,NA,NA,23.4,NA,NA,24.6,NA,NA
2,Ofi,11,15.2,NA,NA,20.0,NA,NA,21.5,1,NA,NA,NA,NA
2,Ofi,12,7.9,NA,NA,9.9,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,13,15.3,NA,11.0,18.8,NA,NA,19.5,7,NA,NA,NA,NA
2,Ofi,14,16.3,NA,9.0,21.7,NA,NA,27.8,1,NA,NA,NA,NA
3,Fi,15,13.3,NA,NA,25.4,NA,NA,36.5,1,NA,NA,NA,NA
3,Fi,16,10.7,NA,NA,15.5,7,NA,NA,NA,NA,NA,NA,NA
3,Fi,17,9.1,NA,NA,18.6,NA,NA,25.5,NA,NA,31.7,NA,27.3
3,Fi,18,14.3,NA,NA,24.6,NA,NA,25.6,1,NA,NA,NA,NA
3,Fi,19,8.8,NA,NA,10.2,6,NA,NA,NA,NA,NA,NA,NA
3,Fi,20,8.0,NA,NA,15.4,7,NA,NA,NA,NA,NA,NA,NA
3,Fi,21,7.6,NA,NA,7.8,4,NA,NA,NA,NA,NA,NA,NA
3,Fi,22,14.0,NA,NA,25.7,NA,NA,34.8,NA,22.3,36.3,NA,NA
3,Fi,23,7.4,NA,NA,8.4,5,NA,NA,NA,NA,NA,NA,NA
3,Fi,24,7.6,NA,NA,17.4,7,NA,NA,NA,NA,NA,NA,NA
3,Fi,25,10.7,NA,NA,20.3,6,NA,NA,NA,NA,NA,NA,NA
3,Fi,26,8.5,NA,NA,9.9,7,NA,NA,NA,NA,NA,NA,NA
3,Fi,27,18.2,NA,NA,29.6,NA,NA,34.3,NA,NA,43.0,NA,26.8
3,Fi,28,12.9,NA,NA,14.9,7,NA,NA,NA,NA,NA,NA,NA
3,Fi,29,11.5,NA,NA,17.8,NA,NA,27.4,NA,NA,32.1,NA,27.4
1,Dgl,30,6.6,NA,NA,11.1,7,NA,NA,NA,NA,NA,NA,NA
3,Fi,31,15.8,NA,NA,24.1,NA,NA,30.2,NA,NA,37.1,NA,27.7
3,Fi,32,14.3,NA,NA,20.6,NA,NA,26.9,NA,NA,33.9,NA,26.0
3,Fi,33,10.5,NA,NA,19.7,NA,NA,21.0,7,NA,NA,NA,NA
3,Fi,34,6.8,NA,NA,7.4,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,35,6.5,NA,NA,6.8,6,NA,NA,NA,NA,NA,NA,NA
3,Fi,36,13.2,NA,NA,21.4,NA,NA,26.7,1,NA,NA,NA,NA
1,Dgl,37,15.2,NA,NA,22.6,1,NA,NA,NA,NA,NA,NA,NA
3,Fi,38,18.7,NA,NA,30.5,NA,NA,39.3,NA,NA,42.7,NA,30.8
2,Ofi,39,12.0,NA,NA,13.1,NA,NA,13.5,7,NA,NA,NA,NA
2,Ofi,40,4.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,41,16.8,NA,NA,30.8,NA,NA,30.8,1,NA,NA,NA,NA
3,Fi,42,13.5,NA,NA,22.4,NA,NA,34.8,NA,NA,41.5,NA,30.1
1,Dgl,43,5.0,NA,NA,4.9,4,NA,NA,NA,NA,NA,NA,NA
1,Dgl,44,4.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,45,9.4,NA,NA,12.9,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,46,16.0,NA,NA,15.9,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,47,9.4,NA,NA,16.2,NA,14.0,18.0,7,NA,NA,NA,NA
3,Fi,48,11.6,NA,NA,21.6,NA,NA,27.2,NA,NA,33.0,NA,27.6
1,Dgl,49,11.7,NA,NA,17.2,NA,NA,19.0,7,NA,NA,NA,NA
1,Dgl,50,15.2,NA,NA,24.8,NA,NA,29.5,1,NA,NA,NA,NA
1,Dgl,51,11.1,NA,7.7,18.6,NA,15.0,29.6,NA,NA,36.0,NA,27.7
2,Ofi,52,8.3,NA,NA,13.4,NA,NA,13.5,NA,NA,14.8,NA,14.3
2,Ofi,53,16.2,NA,NA,22.8,NA,NA,27.2,NA,NA,29.6,NA,24.2
2,Ofi,54,10.7,NA,NA,14.5,NA,NA,15.4,NA,NA,16.3,NA,NA
3,Fi,55,5.6,NA,NA,8.2,7,NA,NA,NA,NA,NA,NA,NA
1,Dgl,56,7.4,NA,NA,8.4,6,NA,NA,NA,NA,NA,NA,NA
1,Dgl,57,5.0,NA,NA,6.4,NA,NA,24.6,1,NA,NA,NA,NA
2,Ofi,57,5.1,NA,NA,6.4,NA,NA,16.8,NA,NA,27.2,NA,23.7
2,Ofi,58,16.0,NA,NA,20.8,NA,NA,21.5,NA,NA,22.1,NA,NA
1,Dgl,59,6.8,NA,NA,7.7,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,60,12.6,NA,NA,13.8,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,61,9.5,NA,NA,11.4,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,62,6.2,NA,NA,6.9,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,63,16.4,NA,NA,18.7,6,NA,NA,NA,NA,NA,NA,NA
1,Dgl,64,10.0,NA,NA,15.4,NA,NA,17.0,5,NA,NA,NA,NA
2,Ofi,65,8.9,NA,NA,10.0,7,NA,NA,NA,NA,NA,NA,NA
1,Dgl,68,17.7,NA,NA,26.6,NA,NA,31.0,4,NA,NA,NA,NA
1,Dgl,69,12.8,NA,NA,20.1,NA,NA,43.1,1,NA,NA,NA,NA
3,Fi,70,7.2,NA,NA,11.1,7,NA,NA,NA,NA,NA,NA,NA
3,Fi,71,9.8,NA,NA,18.8,NA,NA,19.5,7,NA,NA,NA,NA
2,Ofi,72,10.0,NA,NA,10.3,5,NA,NA,NA,NA,NA,NA,NA
3,Fi,73,9.6,NA,NA,17.8,NA,NA,18.0,7,NA,NA,NA,NA
2,Ofi,74,7.9,NA,NA,10.8,NA,NA,11.0,7,NA,NA,NA,NA
3,Fi,75,9.6,NA,NA,10.6,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,76,13.6,NA,NA,18.2,NA,NA,18.5,7,NA,NA,NA,NA
3,Fi,77,18.2,NA,NA,30.5,NA,NA,31.6,4,NA,NA,NA,NA
2,Ofi,78,12.6,NA,NA,15.5,NA,NA,19.0,7,NA,NA,NA,NA
1,Dgl,79,16.7,NA,NA,25.9,NA,NA,37.4,1,NA,NA,NA,NA
2,Ofi,80,13.5,NA,NA,15.8,NA,NA,16.0,NA,NA,16.2,NA,NA
1,Dgl,81,11.6,NA,NA,16.9,NA,NA,20.8,NA,NA,36.6,NA,27.2
3,Fi,82,9.6,NA,NA,14.7,NA,NA,22.8,NA,NA,30.8,NA,25.5
2,Ofi,83,8.5,NA,NA,8.7,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,84,9.2,NA,NA,9.4,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,85,13.2,NA,NA,16.9,NA,NA,17.4,NA,NA,19.3,NA,NA
