Bestandeseinheit,Baumart,Baumnummer,D_1955,Aus_1955,H_1955,D_1959,Aus_1959,H_1959,D_1966,Aus_1966,H_1966,D_1975,Aus_1975,H_1975,D_1985,Aus_1985,H_1985,D_1995,Aus_1995,H_1995,D_1996,Aus_1996,H_1996,D_2002,Aus_2002,H_2002,D_2005,Aus_2005,H_2005,D_2009,Aus_2009,H_2009,D_2014,Aus_2014,H_2014
3,Es,1,19.5,NA,NA,21.0,NA,NA,23.8,NA,NA,26.7,NA,NA,30.5,NA,29.6,35.5,NA,30.9,35.9,NA,NA,37.7,NA,NA,38.7,NA,NA,40.3,NA,NA,40.3,3,NA
6,Bu,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.4,0.5,NA,NA,0.6,NA,NA,0.4,NA,NA,0.9,NA,NA
3,Es,2,6.4,NA,NA,6.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.5,0.4,NA,NA,0.5,NA,NA,0.8,1,NA,NA,NA,NA
2,Hbu,3,8.9,NA,NA,10.0,NA,NA,11.4,NA,NA,12.8,NA,NA,14.4,NA,NA,16.0,NA,NA,16.3,NA,NA,18.0,NA,NA,18.5,NA,NA,19.1,NA,NA,21.2,NA,NA
6,Bu,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,7.7,5.0,NA,NA,5.8,NA,NA,6.2,NA,NA,7.4,NA,NA
3,Es,4,13.8,NA,NA,15.2,NA,NA,17.0,NA,NA,18.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,4.1,2.6,NA,NA,2.6,NA,NA,3.1,1,NA,NA,NA,NA
3,Es,5,23.1,NA,NA,24.8,NA,NA,26.6,NA,NA,31.8,NA,NA,36.2,NA,30.3,41.3,NA,30.7,41.7,NA,NA,43.7,NA,NA,44.4,NA,NA,45.3,NA,NA,45.5,NA,NA
6,Bu,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,3.7,2.3,NA,NA,2.5,NA,NA,2.5,NA,NA,2.9,NA,NA
3,Es,6,14.0,NA,NA,15.2,NA,NA,16.7,NA,NA,17.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,8.5,NA,NA,8.6,NA,NA,8.7,NA,NA,9.2,NA,NA
3,Es,7,18.3,NA,NA,22.2,NA,NA,22.2,NA,NA,26.0,NA,NA,31.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,5,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,8,7.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,4.4,2.5,NA,NA,2.7,NA,NA,2.7,NA,NA,3.1,NA,NA
3,Es,9,8.3,NA,NA,8.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,8.1,3.7,NA,NA,3.8,NA,NA,3.9,NA,NA,3.8,NA,NA
