Bestandeseinheit,Baumart,Baumnummer,D_1957,Aus_1957,H_1957,D_1963,Aus_1963,H_1963,D_1972,Aus_1972,H_1972,D_1982,Aus_1982,H_1982,D_1992,Aus_1992,H_1992,D_2000,Aus_2000,H_2000,D_2008,Aus_2008,H_2008,D_2016,Aus_2016,H_2016
1,Bu,1,18.6,NA,NA,20.8,NA,NA,23.0,NA,NA,25.1,NA,NA,27.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2,9.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3,21.4,NA,NA,23.3,NA,NA,28.0,NA,NA,31.6,NA,NA,35.5,NA,NA,38.1,NA,NA,42.0,NA,NA,44.7,NA,NA
1,Bu,4,9.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5,16.7,NA,NA,16.5,NA,NA,16.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,6,20.5,NA,NA,20.4,NA,NA,20.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,7,24.0,NA,NA,26.6,NA,NA,32.0,NA,NA,36.8,NA,NA,40.5,NA,NA,42.1,NA,NA,44.7,2,NA,NA,NA,NA
1,Bu,8,10.8,NA,NA,10.7,NA,NA,11.1,NA,NA,11.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,9,15.0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,10,21.4,NA,NA,24.0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,11,13.4,NA,NA,13.0,NA,NA,13.5,NA,NA,14.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,12,7.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,13,10.8,NA,NA,10.6,NA,NA,11.6,NA,NA,11.8,NA,NA,11.8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,14,15.4,NA,NA,18.2,NA,NA,21.9,NA,NA,25.2,NA,24.5,28.6,NA,26.0,31.2,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,15,15.3,NA,NA,17.1,NA,NA,19.3,NA,NA,22.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,16,19.4,NA,NA,20.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,17,9.4,NA,NA,9.1,NA,NA,10.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,18,19.7,NA,16.0,21.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,101,15.4,NA,NA,17.6,NA,NA,21.3,NA,NA,25.2,NA,NA,28.2,NA,NA,30.3,1,NA,NA,NA,NA,NA,NA,NA
1,Bu,102,16.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,103,8.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,104,8.6,NA,NA,8.7,NA,NA,9.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,105,11.2,NA,NA,12.1,NA,NA,13.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,106,14.4,NA,NA,16.4,NA,NA,20.3,NA,NA,24.0,NA,NA,28.0,NA,NA,30.7,NA,NA,33.7,NA,NA,36.1,NA,NA
1,Bu,107,15.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,108,9.4,NA,NA,10.0,NA,NA,11.5,NA,NA,12.2,NA,NA,12.2,NA,NA,12.4,NA,NA,13.1,NA,NA,15.7,NA,NA
1,Bu,109,22.4,NA,NA,25.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,110,9.0,NA,NA,9.0,NA,NA,9.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,111,10.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,112,17.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,201,14.2,NA,NA,15.1,NA,NA,16.2,NA,NA,16.8,NA,NA,16.5,NA,NA,16.8,NA,NA,16.8,NA,NA,18.5,NA,NA
1,Bu,202,8.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,203,15.2,NA,NA,16.9,NA,NA,19.8,NA,21.2,22.8,NA,23.2,25.2,NA,NA,27.7,NA,NA,30.3,NA,NA,32.9,NA,28.7
1,Bu,204,13.2,NA,NA,15.0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,205,8.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,206,8.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,207,14.2,NA,NA,16.0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,208,11.1,NA,NA,11.6,NA,NA,13.4,NA,NA,13.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,209,6.6,NA,NA,6.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,210,16.9,NA,NA,19.0,NA,NA,23.4,NA,NA,27.4,NA,NA,31.0,NA,NA,33.0,NA,NA,35.9,NA,NA,37.6,NA,31.5
1,Bu,211,16.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,212,7.0,NA,NA,7.1,NA,NA,7.4,1,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
