Bestandeseinheit,Baumart,Baumnummer,D_1972,Aus_1972,H_1972,D_1981,Aus_1981,H_1981,D_1993,Aus_1993,H_1993,D_2001,Aus_2001,H_2001,D_2011,Aus_2011,H_2011,D_2017,Aus_2017,H_2017
1,Bu,1,18.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2,30.4,NA,NA,35.7,NA,NA,44.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,3,21.2,NA,NA,25.8,NA,NA,28.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4,11.9,NA,NA,12.2,NA,NA,12.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5,18.8,NA,NA,19.0,NA,NA,20.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,6,17.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,7,7.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,8,14.8,NA,NA,18.0,NA,NA,22.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,9,8.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,10,10.8,NA,NA,11.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,11,25.1,NA,NA,30.0,7,29.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,12,5.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,13,30.6,NA,NA,35.4,NA,NA,45.5,NA,NA,49.5,NA,NA,55.0,NA,NA,57.3,NA,NA
1,Bu,14,13.8,NA,NA,14.4,NA,26.2,15.2,7,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,15,10.2,NA,NA,10.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,16,18.0,NA,NA,20.0,NA,NA,24.0,NA,NA,26.0,NA,35.2,27.9,1,37.2,NA,NA,NA
1,Bu,17,30.6,NA,NA,37.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,18,13.2,NA,NA,13.4,NA,NA,15.6,NA,NA,16.9,NA,NA,18.3,NA,NA,20.5,NA,NA
1,Bu,19,11.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,20,20.5,NA,NA,21.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,21,16.4,NA,NA,20.6,NA,27.0,28.6,NA,NA,33.8,NA,34.2,40.2,NA,38.4,43.4,2,NA
1,Bu,22,8.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,23,28.2,NA,NA,32.6,NA,NA,38.9,NA,NA,43.3,NA,NA,47.7,NA,NA,49.7,NA,NA
1,Bu,24,10.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,25,16.6,NA,NA,17.3,NA,NA,19.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,26,22.0,NA,NA,24.9,NA,NA,29.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,27,10.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,28,15.9,NA,NA,16.0,NA,NA,16.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,29,25.7,NA,NA,27.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,30,22.4,NA,NA,26.1,NA,NA,38.1,NA,NA,44.1,NA,34.1,48.5,1,39.1,NA,NA,NA
1,Bu,31,16.6,NA,NA,17.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,32,13.3,NA,19.7,13.5,NA,21.0,13.6,2,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,33,14.8,NA,NA,15.4,NA,NA,15.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,34,14.5,NA,NA,16.5,NA,NA,19.0,NA,NA,20.2,NA,31.8,21.0,NA,34.3,21.8,NA,34.2
1,Bu,35,20.0,NA,NA,23.2,NA,NA,26.6,NA,NA,28.8,NA,33.7,31.6,NA,NA,33.8,2,NA
1,Bu,36,19.9,NA,NA,24.2,NA,NA,30.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,37,21.4,NA,22.5,25.2,NA,27.8,29.0,NA,33.7,31.8,2,34.1,NA,NA,NA,NA,NA,NA
1,Bu,38,10.6,NA,NA,10.8,NA,NA,10.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,39,12.4,NA,NA,13.2,NA,NA,13.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,40,9.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,41,11.2,NA,NA,12.6,NA,NA,13.6,NA,NA,13.7,NA,NA,14.7,NA,NA,16.8,NA,21.8
1,Bu,42,13.1,NA,NA,13.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,43,9.9,NA,NA,10.0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,44,12.8,NA,NA,14.7,NA,NA,16.9,NA,NA,17.0,NA,NA,18.5,NA,NA,20.8,NA,24.8
1,Bu,45,16.2,NA,NA,17.2,NA,NA,18.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,46,14.6,NA,NA,15.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,47,17.4,NA,20.7,20.2,NA,24.7,24.7,NA,28.9,26.7,NA,31.7,29.0,1,32.3,NA,NA,NA
1,Bu,48,14.0,NA,NA,17.3,NA,NA,22.9,NA,NA,25.4,NA,NA,30.1,1,NA,NA,NA,NA
1,Bu,49,11.2,NA,NA,11.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,50,7.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,51,12.3,NA,NA,13.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,52,10.8,NA,NA,10.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,53,7.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,54,22.0,NA,NA,26.6,NA,NA,34.2,NA,NA,37.7,NA,NA,41.8,NA,NA,42.5,NA,NA
1,Bu,55,11.7,NA,NA,13.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,56,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,57,12.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,58,9.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,59,10.6,NA,NA,10.7,NA,NA,12.2,NA,NA,12.5,NA,NA,14.8,NA,NA,16.4,NA,NA
1,Bu,60,18.0,NA,NA,18.4,NA,NA,20.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ah,61,11.6,NA,NA,11.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,62,18.5,NA,NA,21.1,NA,NA,29.0,NA,NA,34.2,NA,33.7,41.4,NA,37.9,45.6,NA,NA
1,Bu,63,17.6,NA,NA,21.7,NA,NA,27.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,64,12.7,NA,NA,13.8,NA,NA,14.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,65,17.6,NA,NA,20.4,NA,NA,24.2,2,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,66,14.0,NA,NA,15.6,NA,NA,16.0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,67,14.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,68,14.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,69,13.7,NA,NA,14.6,NA,NA,17.4,2,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,70,15.1,NA,NA,16.1,NA,NA,20.5,NA,NA,23.4,NA,NA,28.1,NA,NA,31.6,NA,NA
1,Bu,71,13.2,NA,NA,14.9,NA,NA,15.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,72,14.5,NA,NA,16.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,73,8.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
