Bestandeseinheit,Baumart,Baumnummer,D_1984,Aus_1984,H_1984,D_1994,Aus_1994,H_1994,D_2006,Aus_2006,H_2006,D_2013,Aus_2013,H_2013
1,Dgl,1,11.0,NA,NA,22.4,NA,18.7,39.9,NA,27.0,50.2,NA,29.1
1,Dgl,2,9.5,NA,NA,18.1,NA,NA,33.6,NA,22.0,43.8,NA,25.6
2,Ofi,3,4.5,NA,NA,10.2,NA,NA,10.8,NA,7.8,12.0,NA,NA
2,Ofi,4,3.9,NA,NA,13.1,NA,NA,18.8,NA,15.1,22.0,NA,17.1
2,Ofi,5,3.8,NA,NA,5.4,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,6,11.1,NA,NA,20.8,NA,NA,34.2,NA,25.8,41.9,NA,29.4
1,Dgl,7,8.3,NA,NA,18.7,NA,NA,33.8,NA,24.4,43.1,NA,29.9
2,Ofi,8,3.1,NA,NA,12.2,NA,NA,13.4,NA,12.6,14.8,NA,12.6
1,Dgl,9,4.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,10,9.7,NA,NA,17.1,NA,NA,28.7,NA,25.3,37.9,NA,28.6
1,Dgl,11,13.6,NA,NA,26.1,NA,NA,32.0,2,20.0,NA,NA,NA
1,Dgl,12,7.6,NA,NA,10.7,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,13,6.8,NA,NA,9.2,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,14,4.9,NA,NA,10.9,NA,NA,20.0,1,16.8,NA,NA,NA
1,Dgl,15,15.0,NA,NA,23.2,NA,NA,26.0,2,17.0,NA,NA,NA
1,Dgl,16,12.5,NA,NA,24.3,NA,NA,37.4,NA,24.4,48.2,NA,27.9
1,Dgl,17,11.1,NA,NA,21.7,NA,NA,40.6,NA,25.1,50.2,NA,31.0
1,Dgl,18,8.1,NA,NA,14.6,NA,NA,23.9,NA,22.9,31.1,NA,27.8
1,Dgl,19,5.3,NA,NA,6.4,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,20,11.1,NA,8.0,18.2,1,13.4,NA,NA,NA,NA,NA,NA
1,Dgl,21,11.5,NA,8.0,19.7,NA,16.3,30.0,NA,26.6,36.1,NA,31.2
1,Dgl,22,7.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,23,6.7,NA,NA,8.6,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,24,7.4,NA,NA,11.5,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,25,14.6,NA,NA,26.6,NA,NA,38.0,NA,NA,46.0,NA,NA
2,Ofi,26,3.8,NA,NA,6.8,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,27,12.8,NA,NA,21.0,NA,NA,26.0,2,17.0,NA,NA,NA
1,Dgl,28,10.3,NA,NA,17.8,NA,NA,25.8,1,NA,NA,NA,NA
1,Dgl,29,21.0,NA,13.5,36.8,NA,21.0,52.5,NA,NA,61.3,NA,33.2
1,Dgl,30,9.7,NA,NA,13.9,NA,NA,14.0,2,12.0,NA,NA,NA
1,Dgl,31,8.8,NA,8.0,14.3,NA,12.7,21.9,NA,NA,28.2,NA,NA
1,Dgl,32,9.6,NA,NA,18.1,NA,19.7,31.9,NA,NA,40.8,NA,30.9
1,Dgl,33,20.3,NA,NA,33.9,NA,22.1,49.6,NA,NA,58.7,NA,33.0
1,Dgl,34,15.5,NA,10.5,24.4,1,18.7,NA,NA,NA,NA,NA,NA
1,Dgl,35,12.0,NA,11.5,16.9,NA,18.0,28.0,2,22.0,NA,NA,NA
1,Dgl,36,13.6,NA,10.0,20.0,NA,18.5,28.3,NA,NA,32.9,NA,NA
1,Dgl,37,16.9,NA,NA,28.6,NA,NA,46.5,NA,NA,57.4,NA,NA
1,Dgl,38,14.6,NA,12.5,26.9,NA,NA,35.0,2,20.0,NA,NA,NA
1,Dgl,39,17.8,NA,NA,32.0,NA,NA,34.0,2,23.0,NA,NA,NA
1,Dgl,40,22.4,NA,14.5,35.8,NA,24.0,46.3,NA,NA,53.8,NA,NA
1,Dgl,41,13.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,42,21.1,NA,NA,31.2,NA,NA,32.0,1,23.0,NA,NA,NA
1,Dgl,43,8.6,NA,NA,12.6,NA,NA,16.5,NA,NA,20.5,NA,21.1
1,Dgl,44,22.9,NA,NA,34.9,NA,NA,47.6,NA,NA,55.0,NA,33.1
1,Dgl,45,10.4,NA,NA,14.8,1,16.5,NA,NA,NA,NA,NA,NA
1,Dgl,46,12.1,NA,NA,15.1,NA,NA,15.9,1,NA,NA,NA,NA
1,Dgl,47,19.4,NA,NA,36.9,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,48,13.5,NA,NA,23.8,NA,NA,35.2,NA,NA,44.7,NA,NA
1,Dgl,49,15.3,NA,NA,28.0,NA,NA,46.9,NA,NA,58.6,NA,32.5
1,Dgl,50,5.2,NA,NA,5.7,1,NA,NA,NA,NA,NA,NA,NA
3,Fi,51,6.8,NA,NA,10.3,1,NA,NA,NA,NA,NA,NA,NA
3,Fi,52,5.2,NA,NA,7.3,NA,NA,11.6,2,NA,NA,NA,NA
1,Dgl,53,20.6,NA,NA,28.4,NA,NA,30.0,2,22.0,NA,NA,NA
1,Dgl,54,19.3,NA,14.5,29.4,NA,21.0,40.5,NA,NA,45.9,NA,31.8
1,Dgl,55,15.1,NA,NA,24.4,NA,NA,34.4,NA,NA,40.2,NA,NA
1,Dgl,56,20.8,NA,NA,31.9,NA,NA,40.1,NA,NA,46.9,NA,31.5
1,Dgl,57,20.6,NA,NA,30.0,NA,NA,39.6,1,NA,NA,NA,NA
1,Dgl,58,9.1,NA,NA,12.7,NA,NA,15.2,NA,NA,17.6,NA,24.7
1,Dgl,59,8.6,NA,NA,9.0,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,60,12.8,NA,NA,15.9,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,61,22.3,NA,13.5,31.7,NA,20.5,35.0,1,21.0,NA,NA,NA
1,Dgl,62,19.0,NA,NA,29.2,1,NA,NA,NA,NA,NA,NA,NA
3,Fi,63,5.8,NA,NA,5.5,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,64,11.2,NA,NA,14.4,NA,NA,15.7,1,NA,NA,NA,NA
1,Dgl,65,20.2,NA,NA,33.4,NA,NA,46.5,NA,NA,54.3,NA,NA
4,Lae,66,20.4,NA,NA,23.3,NA,NA,24.0,2,12.0,NA,NA,NA
3,Fi,67,4.0,NA,NA,7.5,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,68,13.9,NA,NA,25.6,NA,NA,40.9,1,NA,NA,NA,NA
1,Dgl,69,7.6,NA,NA,10.0,NA,NA,10.0,1,NA,NA,NA,NA
3,Fi,70,5.1,NA,NA,10.6,NA,NA,13.6,1,NA,NA,NA,NA
3,Fi,71,6.9,NA,NA,13.3,NA,NA,15.5,1,NA,NA,NA,NA
1,Dgl,72,13.1,NA,NA,21.2,NA,18.8,31.8,NA,NA,38.4,NA,NA
1,Dgl,73,18.8,NA,NA,28.3,NA,17.7,37.6,NA,NA,44.5,NA,NA
1,Dgl,74,6.8,NA,NA,7.3,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,75,7.0,NA,NA,7.4,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,76,17.4,NA,NA,24.9,NA,20.2,38.2,NA,NA,43.3,NA,NA
1,Dgl,77,14.4,NA,NA,19.9,NA,NA,30.2,NA,NA,36.7,NA,NA
1,Dgl,78,15.4,NA,NA,23.4,NA,NA,28.0,2,21.0,NA,NA,NA
1,Dgl,79,27.0,NA,NA,43.5,NA,NA,45.0,2,27.0,NA,NA,NA
1,Dgl,80,8.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,81,10.9,NA,NA,13.2,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,82,8.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,83,21.8,NA,NA,34.5,NA,NA,47.1,1,NA,NA,NA,NA
1,Dgl,84,18.0,NA,NA,18.6,NA,NA,19.0,2,21.0,NA,NA,NA
1,Dgl,85,9.9,1,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,86,14.6,NA,NA,17.9,NA,NA,21.4,NA,NA,24.5,NA,25.7
1,Dgl,87,13.9,NA,NA,20.6,NA,NA,25.9,NA,NA,29.3,NA,26.9
1,Dgl,88,20.2,NA,NA,32.3,NA,NA,46.4,NA,NA,55.3,NA,NA
1,Dgl,89,20.3,NA,NA,31.7,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,90,17.9,NA,NA,25.8,NA,NA,32.1,NA,NA,35.7,NA,NA
1,Dgl,91,20.0,NA,NA,29.3,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,92,16.6,NA,NA,22.2,NA,NA,29.9,NA,NA,35.7,NA,30.0
1,Dgl,93,10.1,NA,NA,12.2,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,94,8.4,NA,NA,8.4,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,95,15.3,NA,NA,22.4,NA,NA,26.0,2,19.0,NA,NA,NA
1,Dgl,96,18.2,NA,NA,27.8,NA,NA,36.0,NA,NA,41.2,NA,NA
1,Dgl,97,16.4,NA,NA,27.1,NA,NA,37.8,NA,NA,46.4,NA,NA
1,Dgl,98,5.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,99,12.6,NA,NA,20.0,NA,NA,25.2,NA,NA,28.3,NA,27.7
1,Dgl,100,17.1,NA,NA,25.8,NA,NA,37.5,NA,NA,44.8,NA,NA
1,Dgl,101,22.4,NA,NA,33.2,NA,NA,41.5,NA,NA,45.4,NA,NA
1,Dgl,102,30.0,NA,NA,42.2,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,103,11.2,NA,9.0,12.0,1,10.3,NA,NA,NA,NA,NA,NA
2,Ofi,104,5.8,NA,5.0,6.1,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,105,14.4,NA,10.0,20.4,NA,14.7,31.0,NA,NA,40.4,NA,NA
2,Ofi,106,7.9,NA,7.5,11.1,1,12.4,NA,NA,NA,NA,NA,NA
1,Dgl,107,5.6,NA,NA,9.6,1,7.6,NA,NA,NA,NA,NA,NA
1,Dgl,108,19.9,NA,14.0,30.7,NA,21.9,43.2,NA,NA,51.3,NA,NA
1,Dgl,109,11.9,NA,NA,20.4,NA,NA,31.7,NA,NA,39.9,NA,NA
1,Dgl,110,13.0,NA,NA,19.0,NA,NA,22.0,2,23.5,NA,NA,NA
1,Dgl,111,18.1,NA,13.5,29.9,NA,21.2,41.5,NA,NA,47.3,NA,33.8
1,Dgl,112,11.3,NA,NA,12.3,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,113,7.6,NA,NA,7.9,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,114,9.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,115,18.1,NA,NA,24.6,NA,NA,34.4,NA,NA,40.8,NA,NA
1,Dgl,116,16.6,NA,NA,23.9,NA,NA,31.6,NA,NA,37.9,NA,NA
