Exportierte Tabelle Messdaten Durchmesser / Höhen
Versuchsflächendatenbank vom 10.12.2022  14:58:16
Nutzer    : ---

Forstamt  : 44   Schönheide
Revier    : Hundshübel
Versuch   : 14607
Parzelle  : 01
Teilfläche: 112 a2
Standort  : Mf-Z3
Höhenlage : 680



Aufnahme	Aufnahme	Aufnahme	23.07.1984	23.07.1984	23.07.1984	26.04.1995	26.04.1995	26.04.1995	10.11.2006	10.11.2006	10.11.2006	03.12.2013	03.12.2013	03.12.2013	
Wert	Wert	Wert	D	Aus	H	D	Aus	H	D	Aus	H	D	Aus	H	
Einheit	Einheit	Einheit	cm		m	cm		m	cm		m	cm		m	
Bst.-E.	Art	Baum	159	15	30	144	50	34	94	31	30	63	0	33	
1	Dgl	1	11,0			22,4		18,7	39,9		27,0	50,2		29,1	
1	Dgl	2	9,5			18,1			33,6		22,0	43,8		25,6	
2	Ofi	3	4,5			10,2			10,8		7,8	12,0			
2	Ofi	4	3,9			13,1			18,8		15,1	22,0		17,1	
2	Ofi	5	3,8			5,4	5								
1	Dgl	6	11,1			20,8			34,2		25,8	41,9		29,4	
1	Dgl	7	8,3			18,7			33,8		24,4	43,1		29,9	
2	Ofi	8	3,1			12,2			13,4		12,6	14,8		12,6	
1	Dgl	9	4,6	1											
1	Dgl	10	9,7			17,1			28,7		25,3	37,9		28,6	
1	Dgl	11	13,6			26,1			32,0	2	20,0				
1	Dgl	12	7,6			10,7	1								
2	Ofi	13	6,8			9,2	1								
2	Ofi	14	4,9			10,9			20,0	1	16,8				
1	Dgl	15	15,0			23,2			26,0	2	17,0				
1	Dgl	16	12,5			24,3			37,4		24,4	48,2		27,9	
1	Dgl	17	11,1			21,7			40,6		25,1	50,2		31,0	
1	Dgl	18	8,1			14,6			23,9		22,9	31,1		27,8	
1	Dgl	19	5,3			6,4	1								
2	Ofi	20	11,1		8,0	18,2	1	13,4							
1	Dgl	21	11,5		8,0	19,7		16,3	30,0		26,6	36,1		31,2	
1	Dgl	22	7,0	1											
2	Ofi	23	6,7			8,6	1								
2	Ofi	24	7,4			11,5	1								
1	Dgl	25	14,6			26,6			38,0			46,0			
2	Ofi	26	3,8			6,8	1								
1	Dgl	27	12,8			21,0			26,0	2	17,0				
1	Dgl	28	10,3			17,8			25,8	1					
1	Dgl	29	21,0		13,5	36,8		21,0	52,5			61,3		33,2	
1	Dgl	30	9,7			13,9			14,0	2	12,0				
1	Dgl	31	8,8		8,0	14,3		12,7	21,9			28,2			
1	Dgl	32	9,6			18,1		19,7	31,9			40,8		30,9	
1	Dgl	33	20,3			33,9		22,1	49,6			58,7		33,0	
1	Dgl	34	15,5		10,5	24,4	1	18,7							
1	Dgl	35	12,0		11,5	16,9		18,0	28,0	2	22,0				
1	Dgl	36	13,6		10,0	20,0		18,5	28,3			32,9			
1	Dgl	37	16,9			28,6			46,5			57,4			
1	Dgl	38	14,6		12,5	26,9			35,0	2	20,0				
1	Dgl	39	17,8			32,0			34,0	2	23,0				
1	Dgl	40	22,4		14,5	35,8		24,0	46,3			53,8			
1	Dgl	41	13,6	1											
1	Dgl	42	21,1			31,2			32,0	1	23,0				
1	Dgl	43	8,6			12,6			16,5			20,5		21,1	
1	Dgl	44	22,9			34,9			47,6			55,0		33,1	
1	Dgl	45	10,4			14,8	1	16,5							
1	Dgl	46	12,1			15,1			15,9	1					
1	Dgl	47	19,4			36,9	1								
1	Dgl	48	13,5			23,8			35,2			44,7			
1	Dgl	49	15,3			28,0			46,9			58,6		32,5	
1	Dgl	50	5,2			5,7	1								
3	Fi	51	6,8			10,3	1								
3	Fi	52	5,2			7,3			11,6	2					
1	Dgl	53	20,6			28,4			30,0	2	22,0				
1	Dgl	54	19,3		14,5	29,4		21,0	40,5			45,9		31,8	
1	Dgl	55	15,1			24,4			34,4			40,2			
1	Dgl	56	20,8			31,9			40,1			46,9		31,5	
1	Dgl	57	20,6			30,0			39,6	1					
1	Dgl	58	9,1			12,7			15,2			17,6		24,7	
1	Dgl	59	8,6			9,0	5								
1	Dgl	60	12,8			15,9	1								
1	Dgl	61	22,3		13,5	31,7		20,5	35,0	1	21,0				
1	Dgl	62	19,0			29,2	1								
3	Fi	63	5,8			5,5	5								
1	Dgl	64	11,2			14,4			15,7	1					
1	Dgl	65	20,2			33,4			46,5			54,3			
4	Lae	66	20,4			23,3			24,0	2	12,0				
3	Fi	67	4,0			7,5	1								
1	Dgl	68	13,9			25,6			40,9	1					
1	Dgl	69	7,6			10,0			10,0	1					
3	Fi	70	5,1			10,6			13,6	1					
3	Fi	71	6,9			13,3			15,5	1					
1	Dgl	72	13,1			21,2		18,8	31,8			38,4			
1	Dgl	73	18,8			28,3		17,7	37,6			44,5			
1	Dgl	74	6,8			7,3	1								
1	Dgl	75	7,0			7,4	5								
1	Dgl	76	17,4			24,9		20,2	38,2			43,3			
1	Dgl	77	14,4			19,9			30,2			36,7			
1	Dgl	78	15,4			23,4			28,0	2	21,0				
1	Dgl	79	27,0			43,5			45,0	2	27,0				
1	Dgl	80	8,5	1											
2	Ofi	81	10,9			13,2	5								
1	Dgl	82	8,0	1											
1	Dgl	83	21,8			34,5			47,1	1					
1	Dgl	84	18,0			18,6			19,0	2	21,0				
1	Dgl	85	9,9	1	9,5										
1	Dgl	86	14,6			17,9			21,4			24,5		25,7	
1	Dgl	87	13,9			20,6			25,9			29,3		26,9	
1	Dgl	88	20,2			32,3			46,4			55,3			
1	Dgl	89	20,3			31,7	1								
1	Dgl	90	17,9			25,8			32,1			35,7			
1	Dgl	91	20,0			29,3	1								
1	Dgl	92	16,6			22,2			29,9			35,7		30,0	
1	Dgl	93	10,1			12,2	1								
1	Dgl	94	8,4			8,4	1								
1	Dgl	95	15,3			22,4			26,0	2	19,0				
1	Dgl	96	18,2			27,8			36,0			41,2			
1	Dgl	97	16,4			27,1			37,8			46,4			
1	Dgl	98	5,5	1											
1	Dgl	99	12,6			20,0			25,2			28,3		27,7	
1	Dgl	100	17,1			25,8			37,5			44,8			
1	Dgl	101	22,4			33,2			41,5			45,4			
1	Dgl	102	30,0			42,2	5								
2	Ofi	103	11,2		9,0	12,0	1	10,3							
2	Ofi	104	5,8		5,0	6,1	5								
1	Dgl	105	14,4		10,0	20,4		14,7	31,0			40,4			
2	Ofi	106	7,9		7,5	11,1	1	12,4							
1	Dgl	107	5,6			9,6	1	7,6							
1	Dgl	108	19,9		14,0	30,7		21,9	43,2			51,3			
1	Dgl	109	11,9			20,4			31,7			39,9			
1	Dgl	110	13,0			19,0			22,0	2	23,5				
1	Dgl	111	18,1		13,5	29,9		21,2	41,5			47,3		33,8	
1	Dgl	112	11,3			12,3	1								
1	Dgl	113	7,6			7,9	1								
1	Dgl	114	9,4	1											
1	Dgl	115	18,1			24,6			34,4			40,8			
1	Dgl	116	16,6			23,9			31,6			37,9			
1	Dgl	117	5,4			5,1	5								
2	Ofi	118	7,0			6,7	6								
2	Ofi	119	10,2			10,4	1								
2	Ofi	120	11,3			16,5			21,1			23,0		22,4	
1	Dgl	121	14,3			18,0	1								
1	Dgl	122	16,8		11,5	21,5	1	19,0							
1	Dgl	123	9,7		9,0	14,2	1	16,0							
1	Dgl	124	6,8			7,1	5								
1	Dgl	125	15,2		12,5	21,5	1	18,5							
1	Dgl	126	17,3			25,8			34,9			43,0		33,4	
1	Dgl	127	21,0			26,7			27,0	2	22,0				
1	Dgl	128	21,8			31,6			41,1	1					
2	Ofi	129	4,0	1											
1	Dgl	130	24,4			38,7			52,3			60,6		36,3	
2	Ofi	131	9,1	1											
1	Dgl	132	4,8			5,0	5								
1	Dgl	133	9,5			11,8	1								
1	Dgl	134	11,3			12,8	1								
1	Dgl	135	6,6	1											
1	Dgl	136	11,0	1											
1	Dgl	137	20,7			36,4			40,7	1					
1	Dgl	138	8,9			9,4	1								
3	Fi	139	13,5			19,9	1								
1	Dgl	140	13,7		11,5	19,2		19,7	29,0			39,1			
1	Dgl	141	19,6			30,0			41,1			47,5		32,9	
1	Dgl	142	8,4		7,5	10,8		11,4	15,7	1					
1	Dgl	143	16,6		13,0	28,9	1	21,4							
1	Dgl	144	13,1			16,7			17,7			17,7		14,9	
1	Dgl	145	7,8			8,9	1								
1	Dgl	146	4,2	1											
1	Dgl	147	4,6	1											
1	Dgl	148	7,8			12,7			16,4			23,7			
1	Dgl	149	7,0		6,5	8,5	1	9,2							
1	Dgl	150	10,4		9,0	13,9		12,8	15,7			17,7			
1	Dgl	151	8,3	1											
1	Dgl	152	5,4			6,6	1								
2	Ofi	153	11,8			12,7			13,4			14,2		13,0	
2	Ofi	154	10,9		9,5	15,2		13,4	15,7			16,4		15,6	
1	Dgl	155	5,4			6,1			13,4			20,6			
1	Dgl	156	20,1		13,0	33,0		20,7	46,9			52,8		31,3	
1	Dgl	157	13,2		10,0	18,2		16,8	23,1			28,1			
1	Dgl	158	8,5			12,6	1								
1	Dgl	159	16,1		12,5	27,4			38,7			50,4			
