Exportierte Tabelle Messdaten Durchmesser / Höhen
Versuchsflächendatenbank vom 10.12.2022  15:02:44
Nutzer    : ---

Forstamt  : 44   Schönheide
Revier    : Hundshübel
Versuch   : 14607
Parzelle  : 04
Teilfläche: 112 a2
Standort  : Mf-Z3
Höhenlage : 680



Aufnahme	Aufnahme	Aufnahme	24.07.1984	24.07.1984	24.07.1984	12.09.1995	12.09.1995	12.09.1995	10.11.2006	10.11.2006	10.11.2006	03.12.2013	03.12.2013	03.12.2013	
Wert	Wert	Wert	D	Aus	H	D	Aus	H	D	Aus	H	D	Aus	H	
Einheit	Einheit	Einheit	cm		m	cm		m	cm		m	cm		m	
Bst.-E.	Art	Baum	370	14	38	356	99	47	257	143	28	114	0	42	
3	Fi	1	16,5			27,8	1								
1	Dgl	2	19,5		13,0	32,7	1	22,5							
1	Dgl	3	17,7		12,5	25,2	5	19,0							
1	Dgl	4	17,0			24,1			34,0			41,9		32,2	
2	Ofi	5	10,8			11,8	2								
1	Dgl	6	9,0		7,5	11,3	4								
1	Dgl	7	19,1			31,3		23,0	42,9			52,8		32,6	
1	Dgl	8	5,3			7,1	6								
2	Ofi	9	10,8			14,9			15,6			15,7			
2	Ofi	10	16,4		10,5	23,0			24,7			26,4			
2	Ofi	11	15,9		10,0	22,0		14,5	24,3			26,6			
1	Dgl	12	6,0			6,6	5								
1	Dgl	13	18,0		12,5	29,0		23,0	40,8			48,6			
3	Fi	14	3,7			8,8	1								
2	Ofi	15	7,6			9,5			9,5	1					
1	Dgl	16	18,8			29,8		20,0	45,2			47,9		30,4	
1	Dgl	17	8,4			11,6	7								
2	Ofi	18	13,1			20,1			20,1	7					
1	Dgl	19	7,4			10,3	1								
2	Ofi	20	9,0			15,7			15,7	7	15,0				
1	Dgl	21	3,8			4,4	5								
1	Dgl	22	10,3			18,7			27,0			32,6			
2	Ofi	23	10,4			12,7			12,7	7	11,0				
1	Dgl	24	21,5		10,5	34,0		17,0	41,6			46,6		26,8	
1	Dgl	25	8,5		6,5	11,1		14,0	12,5	7					
1	Dgl	26	12,8		9,0	20,6		16,0	22,3			33,7			
1	Dgl	27	16,2		10,5	31,3	7	19,5							
2	Ofi	28	14,6			17,1			18,4			20,0			
2	Ofi	29	11,8			14,2	1								
1	Dgl	30	21,6			38,2			48,0		28,7	56,5		31,6	
1	Dgl	31	5,4			6,1	5								
1	Dgl	32	17,8			28,9			34,5			37,3			
1	Dgl	33	19,6			33,5			42,2			48,4			
1	Dgl	34	15,5			25,0			31,6			37,4		29,5	
1	Dgl	35	15,5			25,0			32,9			38,5			
3	Fi	36	11,8			20,5			28,3	1					
1	Dgl	37	22,3			37,5	1								
2	Ofi	38	8,2			8,8	5								
2	Ofi	39	9,5			11,0	4								
2	Ofi	40	14,8			19,3			20,5			21,1			
1	Dgl	41	12,6			18,3			29,7			37,1		29,6	
1	Dgl	42	12,9			17,8			18,7			19,0			
1	Dgl	43	5,2			6,2	5								
1	Dgl	44	4,5			5,1	5								
2	Ofi	45	9,9			10,4	5								
2	Ofi	46	10,4		9,0	15,0		16,0	15,0	1					
1	Dgl	47	23,0			33,9		24,0	36,8	1					
1	Dgl	48	12,4			19,8			30,6			37,9			
1	Dgl	49	11,1			17,8			24,1			29,5		28,2	
2	Ofi	50	11,4			13,3	1								
1	Dgl	51	15,2			26,1			30,5	7					
1	Dgl	52	5,2			5,9	6								
2	Ofi	53	11,6			15,3			15,9			16,3			
1	Dgl	54	9,9			16,4			18,5			20,3			
2	Ofi	55	9,9			10,8	5								
2	Ofi	56	6,2			7,7	5								
1	Dgl	57	16,5			24,3			28,6		25,4	32,3		28,1	
1	Dgl	58	13,7			19,9			26,1	1	24,5				
2	Ofi	59	12,6			16,6			17,4	1					
2	Ofi	60	15,1			19,3			20,9	1					
2	Ofi	61	18,4		10,5	26,1			30,1			30,1		24,2	
1	Dgl	62	12,0		9,5	18,9		18,0	27,6	1					
1	Dgl	63	18,2		10,5	32,7		18,8	42,9			50,6		30,5	
1	Dgl	64	11,3			16,5			24,8			32,5		29,6	
1	Dgl	65	11,6			16,6			21,4			26,1			
3	Fi	66	24,1			37,4			43,7	1					
3	Fi	67	6,6			6,8	4								
3	Fi	68	7,8			10,7	7								
3	Fi	69	12,5			21,5			27,4	1					
1	Dgl	70	20,0			31,4			39,4		28,3	45,6		33,4	
1	Dgl	71	13,6			18,9			21,8		26,0	24,0		27,3	
1	Dgl	72	21,9			34,4			43,2		27,5	49,0		30,6	
2	Ofi	73	12,0			15,5			15,6			15,7			
1	Dgl	74	6,4			7,8	1								
2	Ofi	75	8,4			8,5	5								
1	Dgl	76	16,4			30,1			37,0			43,4			
1	Dgl	77	4,9			6,6	6								
1	Dgl	78	10,2			15,0			19,0	7					
1	Dgl	79	23,5			37,0			43,5	7					
1	Dgl	80	12,9	1											
1	Dgl	81	7,6			9,0	7								
1	Dgl	82	15,7		10,5	20,8		20,0	23,7			27,5			
2	Ofi	83	9,4			11,0			12,5	7					
2	Ofi	84	11,4			17,0	7	14,5							
2	Ofi	85	10,2			11,0	7								
1	Dgl	86	13,6			21,1			27,0	7					
1	Dgl	87	10,0			12,7			13,6			14,4		20,2	
1	Dgl	88	7,2			15,3			20,5	7					
2	Ofi	89	9,2			14,2		16,5	17,5	7					
1	Dgl	90	8,1			10,4	7								
1	Dgl	91	8,3			14,6			17,9			21,1		19,7	
1	Dgl	92	13,2			20,2			25,5			25,5			
1	Dgl	93	9,7			14,7			17,5			18,9			
1	Dgl	94	13,8			18,5			23,3		23,8	27,2		27,7	
1	Dgl	95	16,8			24,2			29,0			32,2		23,3	
1	Dgl	96	5,2			5,8	5								
1	Dgl	97	12,0			15,9			16,2	1	15,1				
2	Ofi	98	14,4			18,7			20,5		20,6	21,4		22,2	
1	Dgl	99	10,6			11,8			19,7	1	20,6				
2	Ofi	100	16,4			21,1	7								
2	Ofi	101	9,2			9,8			12,5	7					
2	Ofi	102	12,2			14,8			16,5	7					
3	Fi	103	10,3			18,1			19,5	7					
2	Ofi	104	14,3			15,6	2								
2	Ofi	105	13,6			17,3			17,3			17,3			
1	Dgl	106	12,6			17,1			20,7			25,1		26,3	
1	Dgl	107	16,2			26,7			37,3			46,0			
1	Dgl	108	16,9			27,0	1	20,0							
2	Ofi	109	11,4		8,5	13,9	7								
2	Ofi	110	13,8		9,0	17,0			17,0			17,5			
2	Ofi	111	17,8		10,5	23,5			25,3	1					
1	Dgl	112	11,9			18,8			30,4			40,7		29,1	
2	Ofi	113	10,3			12,0			23,3			25,3			
2	Ofi	114	10,2			15,2			18,5	1					
2	Ofi	115	16,4			21,9			22,5	7					
2	Ofi	116	9,8			12,0	1								
3	Fi	117	9,5			14,7			19,2	1					
3	Fi	118	9,4			15,2			25,2	1					
3	Fi	119	9,4			10,2	4								
3	Fi	120	7,6			7,6	6								
1	Dgl	121	13,9			19,5			25,1	1					
1	Dgl	122	14,8			22,5			29,1			34,7			
1	Dgl	123	16,0			23,7			27,0	7					
2	Ofi	124	11,5			14,3			16,5	7					
2	Ofi	125	14,0			15,8			16,5	7					
3	Fi	126	4,9	1											
2	Ofi	127	14,2			19,5			22,3			23,2			
2	Ofi	128	11,0			12,9			13,5			20,5			
2	Ofi	129	10,4	1											
2	Ofi	130	12,8			15,0			15,4			15,8			
1	Dgl	131	16,5			27,5			32,5			52,2		32,8	
1	Dgl	132	12,9			21,8	7								
2	Ofi	133	9,9			12,1			14,0	7					
1	Dgl	134	17,0			26,3			36,1		27,0	43,9		30,1	
1	Dgl	135	19,2			32,0		25,5	34,4			36,8			
2	Ofi	136	11,4			13,6			14,5	7					
2	Ofi	137	15,3			26,2			28,0	1					
2	Ofi	138	12,3			18,1			19,0	7					
2	Ofi	139	11,1			13,2			14,5	7					
2	Ofi	140	13,1		10,5	15,9			16,0	7					
2	Ofi	141	12,6			15,7	1	15,0							
2	Ofi	142	10,3			10,6	6								
2	Ofi	143	10,7			13,3	7								
2	Ofi	144	7,2			11,2			17,0	7					
2	Ofi	145	6,8			8,8	1								
2	Ofi	146	9,7			11,3	7								
2	Ofi	147	14,4			28,0			32,5			45,6			
2	Ofi	148	10,2			11,5	7								
2	Ofi	149	9,2	1											
2	Ofi	150	9,0			11,9			13,0	7					
2	Ofi	151	10,1			11,2	4								
2	Ofi	152	7,8			7,9	4								
2	Ofi	153	10,1			11,4	7								
2	Ofi	154	9,0			9,6	5								
2	Ofi	155	14,8			20,5			21,5			25,4			
2	Ofi	156	12,6			18,1			20,8	1					
2	Ofi	157	14,2			17,7	5								
2	Ofi	158	14,4			18,1			19,7			20,5			
2	Ofi	159	14,1			18,9			19,0	7	16,0				
2	Ofi	160	8,7			10,6	7								
2	Ofi	161	12,3			16,6	4								
1	Dgl	162	10,0			21,2			33,9			44,2			
2	Ofi	163	9,0			12,0			15,0	7					
2	Ofi	164	15,0			19,4			21,2			22,2			
2	Ofi	165	13,8			17,1			19,5	7					
2	Ofi	166	10,4			14,9			16,5	7					
2	Ofi	167	5,9			6,2	4								
2	Ofi	168	12,6			13,2	7								
2	Ofi	169	9,7			12,1			14,0	7					
2	Ofi	170	14,1			20,5			22,5			24,0			
2	Ofi	171	8,9			9,3	6								
2	Ofi	172	9,8			12,8			14,5	7					
2	Ofi	173	12,0		10,5	15,7		17,0	17,5	7					
2	Ofi	174	10,2			12,2		14,5	13,0	7					
2	Ofi	175	8,8			12,4			13,0	7					
2	Ofi	176	8,8			13,3			15,0	7					
2	Ofi	177	12,5			16,1			17,8		17,9	18,4		20,1	
2	Ofi	178	8,3			14,2	1								
2	Ofi	179	6,2			6,1	6								
2	Ofi	180	6,1			6,7	6								
2	Ofi	181	8,9			12,6			15,5	7					
2	Ofi	182	9,0			9,3	4								
2	Ofi	183	12,9			19,2			21,0	7					
2	Ofi	184	9,0			9,4	4								
2	Ofi	185	9,2			13,3			16,3			19,6			
2	Ofi	186	8,2			8,8	6								
2	Ofi	187	12,8			16,4			20,0	1					
2	Ofi	188	11,0			13,1	6								
2	Ofi	189	11,4			15,2			18,2			21,1			
2	Ofi	190	13,8			19,0	1								
2	Ofi	191	10,6			12,8	1								
2	Ofi	192	11,7			15,9			17,7			19,5			
2	Ofi	193	12,4			16,6			20,7			21,0			
2	Ofi	194	9,9			12,0			14,0	7					
2	Ofi	195	11,7			16,4			18,1	1					
2	Ofi	196	8,7	1											
2	Ofi	197	7,8			10,7			24,5			26,5			
2	Ofi	198	14,9			20,5			25,5	7					
2	Ofi	199	6,8	1											
