Exportierte Tabelle Messdaten Durchmesser / Höhen
Versuchsflächendatenbank vom 20.07.2023  16:57:27
Nutzer    : ---

Forstamt  : 51   Wermsdorf
Revier    : Wermsdorf
Versuch   : 13203
Parzelle  : 01
Teilfläche: 77 a1
Standort  : Um-WM2
Höhenlage : 180



Aufnahme	Aufnahme	Aufnahme	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	
Wert	Wert	Wert	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	
Einheit	Einheit	Einheit	cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		
Bst.-E.	Art	Baum	402			41		0	121		402	29		0	402		0		361			181		0	99		361	38		0	361		0		180			17		0	0		180	9		0	180		0		163			74		5	0		163	10		0	163		0		89			0		0	0		89	0		0	0		0		
1	Ei	1	6,3	2	130		0		piz a	0	N		 		10,50	3			7,0	2	130	5	0		piz a	0	N		 		9,90	3																																																			
1	Ei	2	10,4	2	130		0		rue a	0	N		 		14,50	3			16,1	2	130	3	0		rue a	0	N		 		18,40	3																																																			
1	Ei	3	8,8	2	130		0		piz a	0	N		 		13,20	3			10,6	2	130	5	0		piz a	0	N		 		14,30	3																																																			
1	Ei	4	12,3	2	130		0			0	N		 		15,60	3			14,7	2	130	5	0			0	N	17,5	4		17,50	3																																																			
1	Ei	5	6,0	2	130		0			0	N		 		10,10	3			6,4	2	130		0			0	N		 		9,00	3			6,7	0	0	5	0			0	N		 		10,00	3																																			
1	Ei	6	6,4	2	130	5	0			0	N		 		10,70	3																																																																			
1	Ei	7	15,9	2	130		0			0	N		 		17,20	3			23,3	2	130	3	0			0	N		 		21,40	3																																																			
