Bestandeseinheit,Baumart,Baumnummer,D_1958,Aus_1958,H_1958,D_1964,Aus_1964,H_1964,D_1974,Aus_1974,H_1974,D_1981,Aus_1981,H_1981,D_1992,Aus_1992,H_1992,D_2001,Aus_2001,H_2001,D_2008,Aus_2008,H_2008,D_2011,Aus_2011,H_2011,D_2015,Aus_2015,H_2015
1,Bu,1,18.6,NA,NA,20.9,NA,NA,24.7,NA,NA,26.4,NA,NA,29.5,NA,NA,32.0,NA,NA,33.0,NA,NA,33.3,NA,NA,34.8,NA,NA
1,Bu,2,15.0,NA,NA,16.4,NA,NA,18.3,NA,NA,18.8,NA,NA,19.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3,15.0,NA,NA,15.9,NA,NA,16.8,NA,NA,16.9,1,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4,19.7,NA,NA,22.6,NA,NA,26.9,NA,NA,29.6,NA,30.5,34.0,NA,NA,37.2,NA,NA,39.2,NA,NA,39.8,NA,NA,41.6,NA,NA
1,Bu,5,16.6,NA,NA,18.8,NA,NA,22.2,NA,NA,23.8,NA,NA,26.3,NA,NA,27.8,NA,NA,28.8,NA,NA,29.0,NA,NA,29.8,NA,41.5
1,Bu,6,14.0,NA,NA,15.2,NA,NA,16.4,NA,NA,16.6,NA,NA,16.9,NA,24.0,16.9,NA,24.5,16.9,NA,26.8,16.8,NA,23.7,17.2,NA,NA
1,Bu,7,15.1,NA,NA,17.0,NA,NA,20.5,NA,NA,22.2,NA,25.0,25.1,NA,NA,26.8,NA,NA,27.3,NA,NA,27.0,NA,NA,27.5,NA,NA
1,Bu,8,7.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,9,9.3,NA,NA,9.6,NA,NA,9.5,NA,NA,9.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,10,12.9,NA,NA,13.6,NA,NA,14.6,NA,NA,14.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,11,24.0,NA,NA,27.6,NA,NA,28.4,NA,NA,35.6,NA,29.5,39.6,NA,NA,42.7,NA,NA,44.6,NA,NA,45.0,NA,NA,45.8,NA,NA
1,Bu,12,8.3,NA,NA,8.4,NA,NA,8.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,13,17.4,NA,19.0,19.6,NA,NA,22.2,NA,NA,24.2,NA,27.8,27.6,NA,30.5,30.0,NA,34.6,31.3,NA,35.9,30.8,NA,34.3,32.2,NA,34.5
1,Bu,14,15.4,NA,NA,15.9,NA,NA,15.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,15,7.2,NA,NA,7.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,16,17.0,NA,NA,17.8,NA,NA,18.2,NA,NA,18.0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,17,19.5,NA,NA,22.0,NA,NA,25.4,NA,NA,27.2,6,25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,18,21.0,NA,NA,23.2,NA,NA,27.2,NA,NA,29.2,NA,32.9,32.4,NA,33.0,34.7,NA,33.4,35.1,NA,36.8,35.8,NA,38.7,36.4,NA,40.7
1,Bu,19,12.6,NA,NA,13.4,NA,NA,13.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,20,16.8,NA,NA,19.3,NA,NA,23.2,NA,NA,25.4,NA,NA,29.7,NA,NA,33.7,NA,NA,35.6,NA,NA,35.8,NA,NA,37.3,NA,NA
1,Bu,21,10.2,NA,NA,10.5,NA,NA,10.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,22,10.2,NA,NA,10.8,NA,NA,10.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,23,15.2,NA,19.0,17.4,NA,NA,19.9,NA,NA,21.0,NA,24.8,21.8,NA,26.0,22.1,NA,26.6,22.6,NA,29.9,21.8,NA,26.2,22.1,NA,25.9
1,Bu,24,9.6,NA,NA,9.6,NA,NA,9.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,25,13.0,NA,NA,13.7,NA,NA,13.7,NA,NA,13.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,26,11.4,NA,NA,12.3,NA,NA,12.8,NA,NA,12.6,NA,14.8,12.8,7,21.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,27,10.3,NA,NA,11.0,NA,NA,11.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,28,9.6,NA,NA,10.4,NA,NA,10.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,29,16.9,NA,NA,18.8,NA,NA,20.2,NA,NA,20.8,NA,NA,21.2,NA,NA,21.3,NA,NA,21.4,NA,NA,21.5,NA,NA,21.3,NA,NA
1,Bu,30,22.0,NA,NA,25.3,NA,NA,30.5,NA,NA,34.0,NA,NA,40.0,NA,NA,43.0,NA,NA,44.7,NA,NA,45.0,NA,NA,46.4,NA,NA
1,Bu,31,15.0,NA,NA,16.4,NA,NA,17.2,NA,NA,17.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,32,7.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
