Bestandeseinheit,Baumart,Baumnummer,D_1984,Aus_1984,H_1984,D_1995,Aus_1995,H_1995,D_2006,Aus_2006,H_2006,D_2013,Aus_2013,H_2013
3,Fi,1,16.5,NA,NA,27.8,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,2,19.5,NA,13.0,32.7,1,22.5,NA,NA,NA,NA,NA,NA
1,Dgl,3,17.7,NA,12.5,25.2,5,19.0,NA,NA,NA,NA,NA,NA
1,Dgl,4,17.0,NA,NA,24.1,NA,NA,34.0,NA,NA,41.9,NA,32.2
2,Ofi,5,10.8,NA,NA,11.8,2,NA,NA,NA,NA,NA,NA,NA
1,Dgl,6,9.0,NA,7.5,11.3,4,NA,NA,NA,NA,NA,NA,NA
1,Dgl,7,19.1,NA,NA,31.3,NA,23.0,42.9,NA,NA,52.8,NA,32.6
1,Dgl,8,5.3,NA,NA,7.1,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,9,10.8,NA,NA,14.9,NA,NA,15.6,NA,NA,15.7,NA,NA
2,Ofi,10,16.4,NA,10.5,23.0,NA,NA,24.7,NA,NA,26.4,NA,NA
2,Ofi,11,15.9,NA,10.0,22.0,NA,14.5,24.3,NA,NA,26.6,NA,NA
1,Dgl,12,6.0,NA,NA,6.6,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,13,18.0,NA,12.5,29.0,NA,23.0,40.8,NA,NA,48.6,NA,NA
3,Fi,14,3.7,NA,NA,8.8,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,15,7.6,NA,NA,9.5,NA,NA,9.5,1,NA,NA,NA,NA
1,Dgl,16,18.8,NA,NA,29.8,NA,20.0,45.2,NA,NA,47.9,NA,30.4
1,Dgl,17,8.4,NA,NA,11.6,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,18,13.1,NA,NA,20.1,NA,NA,20.1,7,NA,NA,NA,NA
1,Dgl,19,7.4,NA,NA,10.3,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,20,9.0,NA,NA,15.7,NA,NA,15.7,7,15.0,NA,NA,NA
1,Dgl,21,3.8,NA,NA,4.4,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,22,10.3,NA,NA,18.7,NA,NA,27.0,NA,NA,32.6,NA,NA
2,Ofi,23,10.4,NA,NA,12.7,NA,NA,12.7,7,11.0,NA,NA,NA
1,Dgl,24,21.5,NA,10.5,34.0,NA,17.0,41.6,NA,NA,46.6,NA,26.8
1,Dgl,25,8.5,NA,6.5,11.1,NA,14.0,12.5,7,NA,NA,NA,NA
1,Dgl,26,12.8,NA,9.0,20.6,NA,16.0,22.3,NA,NA,33.7,NA,NA
1,Dgl,27,16.2,NA,10.5,31.3,7,19.5,NA,NA,NA,NA,NA,NA
2,Ofi,28,14.6,NA,NA,17.1,NA,NA,18.4,NA,NA,20.0,NA,NA
2,Ofi,29,11.8,NA,NA,14.2,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,30,21.6,NA,NA,38.2,NA,NA,48.0,NA,28.7,56.5,NA,31.6
1,Dgl,31,5.4,NA,NA,6.1,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,32,17.8,NA,NA,28.9,NA,NA,34.5,NA,NA,37.3,NA,NA
1,Dgl,33,19.6,NA,NA,33.5,NA,NA,42.2,NA,NA,48.4,NA,NA
1,Dgl,34,15.5,NA,NA,25.0,NA,NA,31.6,NA,NA,37.4,NA,29.5
1,Dgl,35,15.5,NA,NA,25.0,NA,NA,32.9,NA,NA,38.5,NA,NA
3,Fi,36,11.8,NA,NA,20.5,NA,NA,28.3,1,NA,NA,NA,NA
1,Dgl,37,22.3,NA,NA,37.5,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,38,8.2,NA,NA,8.8,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,39,9.5,NA,NA,11.0,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,40,14.8,NA,NA,19.3,NA,NA,20.5,NA,NA,21.1,NA,NA
1,Dgl,41,12.6,NA,NA,18.3,NA,NA,29.7,NA,NA,37.1,NA,29.6
1,Dgl,42,12.9,NA,NA,17.8,NA,NA,18.7,NA,NA,19.0,NA,NA
1,Dgl,43,5.2,NA,NA,6.2,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,44,4.5,NA,NA,5.1,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,45,9.9,NA,NA,10.4,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,46,10.4,NA,9.0,15.0,NA,16.0,15.0,1,NA,NA,NA,NA
1,Dgl,47,23.0,NA,NA,33.9,NA,24.0,36.8,1,NA,NA,NA,NA
1,Dgl,48,12.4,NA,NA,19.8,NA,NA,30.6,NA,NA,37.9,NA,NA
1,Dgl,49,11.1,NA,NA,17.8,NA,NA,24.1,NA,NA,29.5,NA,28.2
2,Ofi,50,11.4,NA,NA,13.3,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,51,15.2,NA,NA,26.1,NA,NA,30.5,7,NA,NA,NA,NA
1,Dgl,52,5.2,NA,NA,5.9,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,53,11.6,NA,NA,15.3,NA,NA,15.9,NA,NA,16.3,NA,NA
1,Dgl,54,9.9,NA,NA,16.4,NA,NA,18.5,NA,NA,20.3,NA,NA
2,Ofi,55,9.9,NA,NA,10.8,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,56,6.2,NA,NA,7.7,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,57,16.5,NA,NA,24.3,NA,NA,28.6,NA,25.4,32.3,NA,28.1
1,Dgl,58,13.7,NA,NA,19.9,NA,NA,26.1,1,24.5,NA,NA,NA
2,Ofi,59,12.6,NA,NA,16.6,NA,NA,17.4,1,NA,NA,NA,NA
2,Ofi,60,15.1,NA,NA,19.3,NA,NA,20.9,1,NA,NA,NA,NA
2,Ofi,61,18.4,NA,10.5,26.1,NA,NA,30.1,NA,NA,30.1,NA,24.2
1,Dgl,62,12.0,NA,9.5,18.9,NA,18.0,27.6,1,NA,NA,NA,NA
1,Dgl,63,18.2,NA,10.5,32.7,NA,18.8,42.9,NA,NA,50.6,NA,30.5
1,Dgl,64,11.3,NA,NA,16.5,NA,NA,24.8,NA,NA,32.5,NA,29.6
1,Dgl,65,11.6,NA,NA,16.6,NA,NA,21.4,NA,NA,26.1,NA,NA
3,Fi,66,24.1,NA,NA,37.4,NA,NA,43.7,1,NA,NA,NA,NA
3,Fi,67,6.6,NA,NA,6.8,4,NA,NA,NA,NA,NA,NA,NA
3,Fi,68,7.8,NA,NA,10.7,7,NA,NA,NA,NA,NA,NA,NA
3,Fi,69,12.5,NA,NA,21.5,NA,NA,27.4,1,NA,NA,NA,NA
1,Dgl,70,20.0,NA,NA,31.4,NA,NA,39.4,NA,28.3,45.6,NA,33.4
1,Dgl,71,13.6,NA,NA,18.9,NA,NA,21.8,NA,26.0,24.0,NA,27.3
1,Dgl,72,21.9,NA,NA,34.4,NA,NA,43.2,NA,27.5,49.0,NA,30.6
2,Ofi,73,12.0,NA,NA,15.5,NA,NA,15.6,NA,NA,15.7,NA,NA
1,Dgl,74,6.4,NA,NA,7.8,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,75,8.4,NA,NA,8.5,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,76,16.4,NA,NA,30.1,NA,NA,37.0,NA,NA,43.4,NA,NA
1,Dgl,77,4.9,NA,NA,6.6,6,NA,NA,NA,NA,NA,NA,NA
1,Dgl,78,10.2,NA,NA,15.0,NA,NA,19.0,7,NA,NA,NA,NA
1,Dgl,79,23.5,NA,NA,37.0,NA,NA,43.5,7,NA,NA,NA,NA
1,Dgl,80,12.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dgl,81,7.6,NA,NA,9.0,7,NA,NA,NA,NA,NA,NA,NA
1,Dgl,82,15.7,NA,10.5,20.8,NA,20.0,23.7,NA,NA,27.5,NA,NA
2,Ofi,83,9.4,NA,NA,11.0,NA,NA,12.5,7,NA,NA,NA,NA
2,Ofi,84,11.4,NA,NA,17.0,7,14.5,NA,NA,NA,NA,NA,NA
2,Ofi,85,10.2,NA,NA,11.0,7,NA,NA,NA,NA,NA,NA,NA
1,Dgl,86,13.6,NA,NA,21.1,NA,NA,27.0,7,NA,NA,NA,NA
1,Dgl,87,10.0,NA,NA,12.7,NA,NA,13.6,NA,NA,14.4,NA,20.2
1,Dgl,88,7.2,NA,NA,15.3,NA,NA,20.5,7,NA,NA,NA,NA
2,Ofi,89,9.2,NA,NA,14.2,NA,16.5,17.5,7,NA,NA,NA,NA
1,Dgl,90,8.1,NA,NA,10.4,7,NA,NA,NA,NA,NA,NA,NA
1,Dgl,91,8.3,NA,NA,14.6,NA,NA,17.9,NA,NA,21.1,NA,19.7
1,Dgl,92,13.2,NA,NA,20.2,NA,NA,25.5,NA,NA,25.5,NA,NA
1,Dgl,93,9.7,NA,NA,14.7,NA,NA,17.5,NA,NA,18.9,NA,NA
1,Dgl,94,13.8,NA,NA,18.5,NA,NA,23.3,NA,23.8,27.2,NA,27.7
1,Dgl,95,16.8,NA,NA,24.2,NA,NA,29.0,NA,NA,32.2,NA,23.3
1,Dgl,96,5.2,NA,NA,5.8,5,NA,NA,NA,NA,NA,NA,NA
1,Dgl,97,12.0,NA,NA,15.9,NA,NA,16.2,1,15.1,NA,NA,NA
2,Ofi,98,14.4,NA,NA,18.7,NA,NA,20.5,NA,20.6,21.4,NA,22.2
1,Dgl,99,10.6,NA,NA,11.8,NA,NA,19.7,1,20.6,NA,NA,NA
2,Ofi,100,16.4,NA,NA,21.1,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,101,9.2,NA,NA,9.8,NA,NA,12.5,7,NA,NA,NA,NA
2,Ofi,102,12.2,NA,NA,14.8,NA,NA,16.5,7,NA,NA,NA,NA
3,Fi,103,10.3,NA,NA,18.1,NA,NA,19.5,7,NA,NA,NA,NA
2,Ofi,104,14.3,NA,NA,15.6,2,NA,NA,NA,NA,NA,NA,NA
2,Ofi,105,13.6,NA,NA,17.3,NA,NA,17.3,NA,NA,17.3,NA,NA
1,Dgl,106,12.6,NA,NA,17.1,NA,NA,20.7,NA,NA,25.1,NA,26.3
1,Dgl,107,16.2,NA,NA,26.7,NA,NA,37.3,NA,NA,46.0,NA,NA
1,Dgl,108,16.9,NA,NA,27.0,1,20.0,NA,NA,NA,NA,NA,NA
2,Ofi,109,11.4,NA,8.5,13.9,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,110,13.8,NA,9.0,17.0,NA,NA,17.0,NA,NA,17.5,NA,NA
