Bestandeseinheit,Baumart,Baumnummer,D_1960,Aus_1960,H_1960,D_1967,Aus_1967,H_1967,D_1975,Aus_1975,H_1975,D_1985,Aus_1985,H_1985,D_1995,Aus_1995,H_1995,D_2002,Aus_2002,H_2002,D_2005,Aus_2005,H_2005,D_2009,Aus_2009,H_2009,D_2015,Aus_2015,H_2015
4,Hbu,1,9.5,NA,NA,13.1,NA,NA,18.2,NA,NA,20.1,NA,NA,20.4,NA,NA,21.5,NA,NA,20.6,4,NA,NA,NA,NA,NA,NA,NA
2,Es,2,21.6,NA,NA,24.3,NA,NA,29.5,NA,26.0,36.0,NA,29.1,41.6,NA,29.7,45.9,NA,30.5,47.2,NA,33.0,48.9,NA,NA,50.5,NA,NA
1,Bu,3,21.6,NA,NA,23.8,7,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ah,4,30.3,NA,NA,32.1,NA,NA,32.8,NA,25.5,34.8,NA,25.2,36.9,NA,26.9,38.3,NA,27.0,38.4,NA,31.0,38.6,NA,NA,39.8,NA,NA
2,Es,5,34.5,NA,28.0,36.9,NA,NA,40.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,6,21.4,NA,NA,21.9,NA,NA,24.8,NA,NA,27.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,101,49.9,NA,26.0,54.0,7,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,102,12.8,NA,NA,13.0,NA,NA,15.3,NA,NA,17.2,NA,NA,19.0,NA,NA,19.3,NA,NA,19.2,NA,NA,19.4,NA,NA,20.1,NA,NA
1,Bu,103,24.4,NA,NA,25.1,NA,NA,28.6,NA,NA,31.4,NA,NA,34.4,NA,NA,34.9,NA,NA,35.1,NA,NA,35.6,NA,NA,36.4,NA,NA
1,Bu,104,35.0,NA,NA,39.1,NA,NA,45.7,NA,NA,51.3,NA,NA,55.6,NA,NA,58.9,NA,NA,59.6,3,NA,NA,NA,NA,NA,NA,NA
2,Es,105,42.2,NA,30.0,45.1,NA,NA,50.2,NA,NA,57.2,NA,33.4,63.5,NA,34.9,67.9,NA,35.3,66.7,NA,36.0,71.2,NA,NA,74.5,3,NA
2,Es,106,32.8,NA,NA,35.0,NA,NA,38.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,107,21.4,NA,19.5,22.5,NA,NA,24.2,NA,21.0,27.0,NA,21.9,29.0,NA,25.1,29.7,NA,25.2,29.8,NA,27.0,30.6,NA,NA,31.7,NA,NA
2,Es,108,25.0,NA,NA,27.9,7,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,201,17.0,NA,NA,18.8,NA,NA,21.8,NA,NA,23.9,NA,NA,26.0,NA,NA,26.9,NA,NA,27.1,NA,NA,28.0,NA,NA,30.8,NA,NA
1,Bu,202,22.2,NA,NA,24.8,NA,NA,28.0,NA,NA,31.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,203,24.6,NA,NA,27.6,NA,NA,31.7,NA,30.0,36.7,NA,34.8,42.1,NA,35.9,46.0,NA,37.2,47.1,NA,39.0,50.1,NA,NA,51.7,3,NA
1,Bu,204,18.5,NA,NA,20.2,NA,NA,22.4,NA,22.5,24.8,NA,23.8,27.1,NA,25.3,28.3,NA,26.8,28.5,NA,27.0,30.2,NA,NA,32.0,2,NA
3,Ah,205,35.8,NA,NA,37.3,NA,NA,39.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,206,23.2,NA,NA,24.4,NA,NA,26.6,NA,NA,28.8,NA,NA,31.4,NA,19.5,32.4,NA,26.5,32.7,NA,28.0,34.1,NA,NA,36.1,NA,NA
1,Bu,207,12.0,NA,NA,12.6,NA,NA,12.8,NA,19.5,13.3,NA,NA,14.2,NA,NA,14.3,NA,NA,14.3,NA,NA,19.4,3,NA,NA,NA,NA
2,Es,208,29.9,NA,NA,31.4,NA,NA,34.4,NA,NA,38.7,NA,NA,42.6,NA,NA,46.1,NA,NA,46.7,NA,NA,47.6,NA,NA,49.4,NA,NA
2,Es,301,23.8,NA,24.0,26.4,NA,NA,29.9,NA,27.5,34.4,NA,30.6,37.1,NA,32.5,39.6,NA,32.6,40.6,3,34.5,NA,NA,NA,NA,NA,NA
1,Bu,302,8.0,NA,NA,8.2,NA,NA,8.4,NA,NA,8.7,NA,NA,9.1,NA,NA,9.1,NA,NA,38.6,1,NA,NA,NA,NA,NA,NA,NA
1,Bu,303,21.0,NA,NA,22.1,NA,NA,24.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
