Bestandeseinheit,Baumart,Baumnummer,D_1972,Aus_1972,H_1972,D_1981,Aus_1981,H_1981,D_1993,Aus_1993,H_1993,D_2001,Aus_2001,H_2001,D_2011,Aus_2011,H_2011,D_2017,Aus_2017,H_2017
1,Bu,1,14.9,NA,NA,15.3,NA,NA,16.2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2,12.9,NA,NA,12.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Eb,3,10.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4,20.8,NA,NA,24.8,NA,NA,29.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,5,12.6,NA,NA,12.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,6,18.2,NA,NA,23.4,NA,NA,27.8,NA,NA,30.1,NA,NA,36.3,NA,NA,39.0,NA,NA
1,Bu,7,9.3,NA,NA,9.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,8,7.6,1,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,9,6.8,NA,NA,6.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,10,16.9,NA,NA,21.7,NA,NA,24.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Eb,11,7.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,12,14.9,NA,NA,17.2,NA,NA,19.9,NA,NA,21.1,NA,NA,24.2,NA,NA,26.2,NA,NA
1,Bu,13,18.5,NA,NA,20.1,NA,NA,23.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,14,16.4,NA,NA,21.0,NA,NA,26.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,15,21.3,NA,NA,24.3,NA,NA,29.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,16,12.2,NA,NA,13.2,NA,NA,13.8,NA,NA,14.1,NA,NA,16.4,1,NA,NA,NA,NA
3,Ah,17,17.0,NA,NA,18.6,NA,NA,19.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,18,19.5,NA,NA,21.3,NA,NA,23.0,NA,NA,23.2,NA,NA,23.6,NA,NA,24.7,NA,NA
1,Bu,19,8.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,20,16.8,NA,NA,19.6,NA,NA,22.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,21,16.7,NA,NA,22.8,NA,NA,28.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,22,9.4,NA,NA,9.5,NA,NA,9.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,23,11.6,NA,NA,11.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,24,17.9,NA,NA,20.7,NA,NA,22.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,25,9.4,NA,NA,9.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,26,8.4,NA,NA,8.0,NA,NA,8.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,27,5.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,28,10.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,29,22.2,NA,NA,26.1,NA,NA,32.4,NA,NA,36.6,NA,NA,43.8,NA,NA,48.2,NA,NA
1,Bu,30,18.8,NA,NA,22.4,NA,NA,26.8,NA,NA,29.6,2,NA,NA,NA,NA,NA,NA,NA
1,Bu,31,18.6,NA,NA,21.6,NA,24.5,25.3,NA,NA,26.4,NA,NA,30.0,NA,NA,34.5,NA,NA
1,Bu,32,20.6,NA,NA,24.7,NA,NA,30.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,33,10.2,NA,NA,10.0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,34,14.6,NA,NA,14.8,NA,NA,14.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,35,7.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,36,10.6,NA,NA,10.4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,37,20.8,NA,NA,24.9,NA,NA,29.8,NA,NA,32.5,NA,NA,36.8,1,NA,NA,NA,NA
1,Bu,38,16.7,NA,NA,19.6,NA,NA,25.2,NA,NA,28.3,NA,NA,32.7,NA,NA,36.0,NA,NA
1,Bu,39,8.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
