Exportierte Tabelle Messdaten Durchmesser / Höhen
Versuchsflächendatenbank vom 10.12.2022  15:03:00
Nutzer    : ---

Forstamt  : 44   Schönheide
Revier    : Hundshübel
Versuch   : 14607
Parzelle  : 05
Teilfläche: 112 a2
Standort  : Mf-Z3
Höhenlage : 680



Aufnahme	Aufnahme	Aufnahme	26.07.1984	26.07.1984	26.07.1984	21.06.1995	21.06.1995	21.06.1995	10.11.2006	10.11.2006	10.11.2006	03.12.2013	03.12.2013	03.12.2013	
Wert	Wert	Wert	D	Aus	H	D	Aus	H	D	Aus	H	D	Aus	H	
Einheit	Einheit	Einheit	cm		m	cm		m	cm		m	cm		m	
Bst.-E.	Art	Baum	325	102	43	223	34	48	189	98	34	91	0	48	
2	Ofi	1	6,8			15,1		11,8	37,1	1					
1	Dgl	2	7,6			20,2		13,5	24,0			48,8		26,8	
2	Ofi	3	8,0			13,9			16,5	7					
2	Ofi	4	5,5			13,5			19,6			23,5		14,2	
2	Ofi	5	4,0		3,5	13,5			16,9			18,2		13,3	
2	Ofi	6	3,0	1											
2	Ofi	7	6,1		4,5	11,0			14,0	7					
1	Dgl	8	16,0		9,0	33,7		19,7	38,5	7					
2	Ofi	9	4,3			14,5			26,2			37,5		24,5	
3	Fi	10	4,7	1											
1	Dgl	11	3,8	1											
1	Dgl	12	8,4	1											
1	Dgl	13	6,7	1											
1	Dgl	14	11,8		7,5	25,4			40,3	1					
3	Fi	15	5,0			6,1			9,5	7					
3	Fi	16	3,5			4,2	5								
1	Dgl	17	4,1	1											
1	Dgl	18	8,3	1											
2	Ofi	19	5,1	1											
1	Dgl	20	6,8	1											
3	Fi	21	5,6			7,3			10,5	7					
1	Dgl	22	11,4		8,0	19,6		17,8	24,5	7					
1	Dgl	23	15,6		10,0	34,5		20,0	40,0	1					
1	Dgl	24	4,3			8,5			12,5	7					
1	Dgl	25	7,0		5,2	11,0		13,5	14,0			19,3			
1	Dgl	26	11,0		6,5	16,6		16,3	24,8			33,3		27,5	
1	Dgl	27	11,0		7,2	23,7		17,2	36,6			49,4			
2	Ofi	28	8,0		5,7	15,9		12,5	17,0			18,5		16,6	
1	Dgl	29	3,2	1	2,8										
2	Ofi	30	3,8		2,8	6,4	5								
1	Dgl	31	12,3		8,5	24,2		19,2	29,0	1					
2	Ofi	32	5,9		4,0	12,2		9,3	14,7			16,1		15,6	
1	Dgl	33	4,5	1											
3	Fi	34	8,0			15,4			21,0			26,0			
1	Dgl	35	8,2	1	8,5										
2	Ofi	36	4,7		4,0	6,4		6,5	9,5	7					
2	Ofi	37	6,4		4,5	9,4			12,5	7					
1	Dgl	38	13,0		9,0	24,2		19,3	34,0			42,0			
1	Dgl	39	16,6			30,3		17,8	32,0	1	22,0				
1	Dgl	40	10,7		7,0	18,4			22,5	7	12,0				
1	Dgl	41	16,1		11,0	27,7		20,3	36,3			42,8			
2	Ofi	42	8,2			12,1		10,0	15,5	7					
1	Dgl	43	10,2			19,2			26,1			32,4			
1	Dgl	44	23,1		12,5	36,5		23,0	41,5	7					
2	Ofi	45	4,8	1											
2	Ofi	46	4,9	1											
3	Fi	47	9,5			13,2			16,5	7					
1	Dgl	48	8,8	1											
1	Dgl	49	7,9			11,0			16,0	7					
3	Fi	50	7,9			13,8			16,5	7					
1	Dgl	51	21,4		12,5	38,6		24,0	43,6	1					
3	Fi	52	6,1	1											
3	Fi	53	6,5			14,7			20,9			27,5		21,9	
1	Dgl	54	9,8		8,0	17,3			29,1			39,6		30,3	
1	Dgl	55	4,8			5,6	5								
1	Dgl	56	9,2			14,1		12,7	17,5	7					
1	Dgl	57	12,4			20,8			47,8	1					
3	Fi	58	12,5		10,0	18,3		18,0	41,4	1					
1	Dgl	59	14,3	1											
3	Fi	60	3,1	1											
1	Dgl	62	8,2			9,4	5								
1	Dgl	63	6,4	1											
1	Dgl	64	7,6			9,8			16,5	1					
1	Dgl	65	12,8			16,7			24,6	1					
1	Dgl	66	16,0			28,1		19,8	37,4			44,1			
3	Fi	67	5,8			7,1	5								
3	Fi	68	9,2			14,4			16,2			17,2		21,3	
2	Ofi	69	4,0	1											
1	Dgl	70	15,0			26,7			35,1			41,3			
1	Dgl	71	10,8			16,6			22,9			28,8			
1	Dgl	72	6,5	1											
3	Fi	73	4,6	1											
1	Dgl	74	9,2			12,6	1	15,8							
3	Fi	75	15,7			25,9			31,6			34,2		27,2	
1	Dgl	76	7,6			19,6			22,5	7					
1	Dgl	77	10,6			10,8			11,0	1	12,0				
1	Dgl	78	5,6	1											
3	Fi	79	5,8	1											
1	Dgl	80	14,4			26,4			37,2			42,6			
1	Dgl	81	9,2			10,9			13,0	7					
3	Fi	82	8,1			8,9	5								
1	Dgl	83	16,0			24,1			33,1			42,6			
1	Dgl	84	20,8			35,3			45,1			54,0			
1	Dgl	85	12,9			20,6			30,5			40,4			
3	Fi	86	5,6	1											
1	Dgl	87	9,9			12,1			15,8	1					
1	Dgl	88	16,4			27,3			36,6			43,5		30,7	
3	Fi	89	6,4			6,2	5								
3	Fi	90	5,7	1											
1	Dgl	91	5,2	1											
1	Dgl	92	4,0	1											
1	Dgl	93	6,6	1											
1	Dgl	94	7,9			13,8			15,8			16,9			
1	Dgl	95	6,8	1											
1	Dgl	96	11,7			20,0			21,0		19,0	31,2		28,0	
1	Dgl	97	16,2			27,6		19,8	30,5			48,3			
1	Dgl	98	17,8			22,6			25,2	1					
1	Dgl	99	4,1	1											
1	Dgl	100	11,9			20,6		18,5	29,6			35,0			
1	Dgl	101	4,0	1											
1	Dgl	102	6,9			8,3			12,5	7					
2	Ofi	103	7,6	1											
2	Ofi	104	11,3			17,3		15,3	19,5	1					
2	Ofi	105	4,9	1											
1	Dgl	106	21,0			33,7			36,5			53,1			
3	Fi	107	10,6			17,9			24,9			25,4		24,4	
1	Dgl	108	9,4			12,3			15,5	7					
1	Dgl	109	6,8			7,1	5								
1	Dgl	110	14,5			23,9			27,0	1	23,0				
1	Dgl	111	18,6			33,2			45,6	1					
1	Dgl	112	20,2			29,0			33,0	7					
1	Dgl	113	13,7			17,3			21,5	7					
1	Dgl	114	26,9			41,4		21,5	45,5	7					
3	Fi	115	6,9	1											
1	Dgl	116	7,0	1											
3	Fi	117	12,8			18,1			18,2			18,9			
1	Dgl	118	15,7			28,7			32,5			52,6			
1	Dgl	119	6,3	1											
3	Fi	120	5,8	1											
3	Fi	121	8,4			15,8			16,0	1	17,0				
3	Fi	122	7,3			12,2			13,0	1	16,0				
3	Fi	123	5,2	1											
1	Dgl	124	13,4			18,9			23,2			25,8		24,7	
1	Dgl	125	19,4			31,5		19,8	43,2			49,2			
1	Dgl	126	20,9			36,6			40,5	1					
1	Dgl	127	14,3			23,5			28,8			34,9			
3	Fi	128	8,8			15,0			19,3			21,9		24,8	
3	Fi	129	6,6			8,2			12,5	7					
3	Fi	130	11,4			23,2			27,0	7					
1	Dgl	131	12,4			18,7			22,0			28,5			
1	Dgl	132	10,4			13,6			16,5	7					
1	Dgl	133	7,1	1											
1	Dgl	134	22,3			41,1			56,5			65,0		34,1	
1	Dgl	135	5,8	1											
3	Fi	136	5,4	1											
1	Dgl	137	10,9	1											
3	Fi	138	5,3	1											
1	Dgl	139	15,6			19,3			23,5	7					
1	Dgl	140	16,5	1											
1	Dgl	141	4,9	1											
1	Dgl	142	4,2	1											
3	Fi	143	8,2			15,3			19,8			23,9		23,5	
1	Dgl	144	8,8			9,6	5								
1	Dgl	145	11,7			14,9			17,5	7					
1	Dgl	146	6,0	1											
1	Dgl	147	11,3			18,2			22,5			35,1			
3	Fi	148	6,3	1											
1	Dgl	149	7,7	1											
3	Fi	150	4,6	1											
1	Dgl	151	6,0	1											
3	Fi	152	9,3			14,8			17,5	7					
1	Dgl	153	6,0	1											
1	Dgl	154	7,8	1											
3	Fi	155	9,6			10,3	5								
1	Dgl	156	22,0		11,0	33,8		16,8	38,2	1	25,2				
1	Dgl	157	9,6			13,8			17,7			20,0		24,1	
1	Dgl	158	6,8	1											
1	Dgl	159	17,2			30,4			32,0	1	21,0				
1	Dgl	160	5,0	1											
1	Dgl	161	11,6			19,2			28,4			35,3			
1	Dgl	162	6,0	1											
1	Dgl	163	6,0	1											
1	Dgl	164	23,6			39,6			51,3			58,5		34,7	
1	Dgl	165	18,5			26,5			29,5	7					
1	Dgl	166	11,3			18,0			22,0	7					
1	Dgl	167	5,3	1											
1	Dgl	168	6,9			10,5			13,5	7					
1	Dgl	169	8,0	1											
1	Dgl	170	7,3	1											
1	Dgl	171	5,6	1											
3	Fi	172	5,4	1											
1	Dgl	173	5,0	1											
1	Dgl	174	4,8	1											
1	Dgl	175	18,3			31,8			42,3			48,1		32,0	
3	Fi	176	5,6	1											
1	Dgl	177	13,5			22,8			34,7			42,0			
1	Dgl	178	12,9			22,5			25,0	1	22,0				
1	Dgl	179	11,8			16,3			20,5	7					
1	Dgl	180	6,0			9,7			15,3	1					
1	Dgl	181	6,1	1											
1	Dgl	182	9,0			13,4			16,5	7					
3	Fi	183	4,6	1											
1	Dgl	184	13,1			14,2		13,0	15,3			15,5		15,6	
3	Fi	185	6,6			6,9	5								
1	Dgl	186	6,1	1											
1	Dgl	187	13,7		9,5	21,6			31,4			36,8			
1	Dgl	188	11,0			14,2			16,6		19,5	18,0		21,1	
1	Dgl	189	12,0			14,6			17,5	7					
1	Dgl	190	9,4			11,3		12,0	25,0		18,0	29,5			
1	Dgl	191	6,2	1											
3	Fi	192	8,5			13,2			14,3		15,3	14,5		17,0	
3	Fi	193	5,8	1											
3	Fi	194	6,0	1											
3	Fi	195	15,5			28,2			36,2			42,0		29,2	
3	Fi	196	6,2			6,2			25,6			44,9			
1	Dgl	197	11,4			17,5			20,5	7					
1	Dgl	198	14,3			23,3			26,5	7					
1	Dgl	199	4,6	1											
1	Dgl	200	12,2	1											
3	Fi	201	3,6	1											
1	Dgl	202	21,8		12,5	39,6			51,3			59,0		33,9	
3	Fi	203	7,6			12,6			12,6			12,7			
3	Fi	204	5,3			5,5	5								
1	Dgl	205	5,2	1											
1	Dgl	206	11,7			13,0			16,0	7					
1	Dgl	207	8,1	1											
3	Fi	208	5,8	1											
1	Dgl	209	7,2	1											
3	Fi	210	12,5	1											
3	Fi	211	6,9	1											
1	Dgl	212	22,3		12,5	35,2			39,5			41,1		32,0	
3	Fi	213	8,7			14,4			15,9		16,7	16,8			
1	Dgl	214	5,7	1											
3	Fi	215	13,6			25,1			31,1		25,8	35,4		29,2	
1	Dgl	216	16,3	1											
